result_id,result,part_1,part_2
1,interfrontal,frontal_L,frontal_R
2,sagittal,parietal_L,parietal_R
3,coronal_L,parietal_L,frontal_L
4,coronal_R,parietal_R,frontal_R
5,occipitoparietal_L,parietal_L,occipital
6,occipitoparietal_R,parietal_R,occipital
7,frontojugal_L,frontal_L,jugal_L
8,frontojugal_R,frontal_R,jugal_R
9,sphenofrontal_L,frontal_L,squamosal_L
10,sphenofrontal_R,frontal_R,squamosal_R
11,squamosalparietal_L,parietal_L,squamosal_L
12,squamosalparietal_R,parietal_R,squamosal_R
13,squamosooccipital_L,occipital,squamosal_L
14,squamosooccipital_R,occipital,squamosal_R
15,temporozygomatic_L,jugal_L,squamosal_L
16,temporozygomatic_R,jugal_R,squamosal_R
17,frontomaxillary_L,frontal_L,maxillary_L
18,frontomaxillary_R,frontal_R,maxillary_R
19,maxillaryjugal_L,jugal_L,maxillary_L
20,maxillaryjugal_R,jugal_R,maxillary_R
21,intermaxilllary,maxillary_L,maxillary_R
22,frontopremaxillary_L,frontal_L,premaxillary_L
23,frontopremaxillary_R,frontal_R,premaxillary_R
24,maxillarypremaxillary_L,maxillary_L,premaxillary_L
25,maxillarypremaxillary_R,maxillary_R,premaxillary_R
26,frontonasal_L,frontal_L,nasal_L
27,frontonasal_R,frontal_R,nasal_R
28,nasomaxillary_L,maxillary_L,nasal_L
29,nasomaxillary_R,maxillary_R,nasal_R
30,nasopremaxillary_L,premaxillary_L,nasal_L
31,nasopremaxillary_R,premaxillary_R,nasal_R
32,lambdoid_L,parietal_L,interparietal
33,lambdoid_R,parietal_R,interparietal
34,occipital,occipital,interparietal
35,maxillarypalatine_L,maxillary_L,palatine_L
36,maxillarypalatine_R,maxillary_R,palatine_R
37,interpalatine,palatine_R,palatine_L
38,internasal,nasal_L,nasal_R
